"","Journal"
"1","Water Resources Research"
"2","Physics of the Earth and Planetary Interiors"
"3","Nature"
"4","Nature"
"5","Geochemical Perspectives Letters"
"6","Earth and Planetary Science Letters"
"7","Geochemical Perspectives Letters"
"8","Nature Communications"
"9","Journal of Geophysical Research: Earth Surface"
"10","Journal of Hydrology"
"11","Tectonics"
"12","Journal of Geophysical Research: Earth Surface"
"13","Advances in Water Resources"
"14","Journal of Structural Geology"
"15","Earth Surface Processes and Landforms"
"16","Earth Surface Processes and Landforms"
"17","Astrobiology"
"18","Geological Society, London, Special Publications"
"19","Geology"
"20","Geophysical Research Letters"
"21","Journal of Hydrology"
"22","Progress in Physical Geography"
"23","Journal of Structural Geology"
"24","Geophysical Journal International"
"25","Cretaceous Research"
"26","Journal of Structural Geology"
"27","Hydrological Processes"
"28","Solid Earth Discussions"
"29","Geology"
"30","Journal of Geophysical Research: Atmospheres"
"31","Journal of Geophysical Research: Solid Earth"
"32","Environmental Research Letters"
"33","Lithos"
"34","Sedimentology"
"35","Geophysical Research Letters"
"36","Geomorphology"
"37","Paleoceanography and Paleoclimatology"
"38","Current Climate Change Reports"
"39","Geophysical Research Letters"
"40","Tectonics"
"41","International Journal of Geographical Information Science"
"42","Journal of Petrology"
"43","Geophysical Research Letters"
"44","Lithos"
"45","Sedimentology"
"46","Journal of Volcanology and Geothermal Research"
"47","Tectonics"
"48","Journal of Geophysical Research: Solid Earth"
"49","Geophysical Research Letters"
"50","Icarus"
"51","Geophysical Journal International"
"52","Geophysical Research Letters"
"53","Geophysical Research Letters"
"54","Tectonics"
"55","Scientific Reports"
"56","Geotectonic Research"
"57","Earth and Planetary Science Letters"
"58","Solid Earth"
"59","Earth's Future"
"60","Tectonics"
"61","Tectonophysics"
"62","Journal of Geophysical Research: Earth Surface"
"63","Marine and Petroleum Geology"
"64","Tectonics"
"65","Sedimentology"
"66","International Journal of Applied Earth Observation and Geoinformation"
"67","Ecological Indicators"
"68","Journal of Structural Geology"
"69","Geochimica et Cosmochimica Acta"
"70","Journal of Geophysical Research: Atmospheres"
"71","Water Resources Research"
"72","Bulletin of Volcanology"
"73","Journal of Geophysical Research: Earth Surface"
"74","Geological Society of America Bulletin"
"75","Geology"
"76","Journal of Sedimentary Research"
"77","Sedimentology"
"78","Science of The Total Environment"
"79","Marine and Petroleum Geology"
"80","Journal of Sedimentary Research"
"81","Continental Shelf Research"
"82","Journal of Structural Geology"
"83","Tectonics"
"84","Tectonics"
"85","Earth and Planetary Science Letters"
"86","Journal of Geophysical Research: Oceans"
"87","Earth Science Informatics"
"88","Journal of Geophysical Research: Atmospheres"
"89","Journal of Map & Geography Libraries"
"90","Geological Society, London, Special Publications"
"91","Journal of Sedimentary Research"
"92","Renewable Energy"
"93","Basin Research"
"94","Environmental Pollution"
"95","Ecological Informatics"
"96","Marine and Petroleum Geology"
"97","Applied Energy"
"98","Earth and Planetary Science Letters"
"99","Journal of Structural Geology"
"100","Water Resources Research"
"101","Water Resources Research"
"102","Geomorphology"
"103","Marine and Petroleum Geology"
"104","Frontiers in Earth Science"
"105","Stochastic Environmental Research and Risk Assessment"
"106","Earth-Science Reviews"
"107","Nature Communications"
"108","19: Interdisciplinary Studies in the Long Nineteenth Century"
"109","Journal of Geophysical Research: Oceans"
"110","Petroleum Geoscience"
"111","Lithos"
"112","Geophysical Research Letters"
"113","Quaternary International"
"114","Physics of the Earth and Planetary Interiors"
"115","Volcanica"
"116","Journal of Structural Geology"
"117","Sedimentary Geology"
"118","Science"
"119","Geophysical Journal International"
"120","Journal of Geodesy"
"121","Journal of Geodesy"
"122","Geophysical Journal International"
"123","Science Advances"
"124","Journal of Surveying Engineering"
"125","Geophysical Research Letters"
"126","Survey Review"
"127","Survey Review"
"128","Geophysical Research Letters"
"129","GPS Solutions"
"130","International Journal of Offshore and Polar Engineering"
"131","Journal of Geophysical Research: Solid Earth"
"132","Geophysical Journal International"
"133","Bulletin of the Seismological Society of America"
"134","IEEE Transactions on Geoscience and Remote Sensing"
"135","Marine Geology"
"136","Solid Earth Discussions"
"137","American Journal of Science"
"138","AAPG Bulletin"
"139","Geophysical Journal International"
"140","Seismological Research Letters"
"141","Geophysical Research Letters"
"142","Mathematical Geosciences"
"143","Earth-Science Reviews"
"144","Wiley Interdisciplinary Reviews: Water"
"145","Journal of Geodesy"
"146","Journal of Structural Geology"
"147","Plate Boundaries and Natural Hazards,Geophysical Monograph Series"
"148","Tectonics"
"149","Geochimica et Cosmochimica Acta"
"150","Journal of Geophysical Research: Solid Earth"
"151","Bulletin of the Seismological Society of America"
"152","Geochemistry, Geophysics, Geosystems"
"153","Chemical Geology"
"154","Earth and Planetary Science Letters"
"155","Precambrian Research"
"156","Geological Society, London, Memoirs"
"157","Geochimica et Cosmochimica Acta"
"158","Geological Society of America Bulletin"
"159","Science"
"160","Geology"
"161","Elements"
"162","Earth and Planetary Science Letters"
"163","Geophysical Research Letters"
"164","Seismological Research Letters"
"165","The Leading Edge"
"166","Journal of Geophysical Research: Solid Earth"
"167","Journal of Geophysical Research: Solid Earth"
"168","Journal of Geophysical Research"
"169","Journal of Geophysical Research: Solid Earth"
"170","Science"
"171","Science"
"172","Earth and Planetary Science Letters"
"173","Earth and Planetary Science Letters"
"174","Earth and Planetary Science Letters"
"175","Geophysical Journal International"
"176","Geophysical Journal International"
"177","Geophysical Journal International"
"178","Geophysical Journal International"
"179","Geophysical Journal International"
"180","Geophysical Journal International"
"181","Pure and Applied Geophysics"
"182","Bulletin of the Seismological Society of America"
"183","Earth Surface Processes and Landforms"
"184","Journal of Geophysical Research: Earth Surface"
"185","Geophysical Journal International"
"186","Physics of the Earth and Planetary Interiors"
"187","Earth Surface Processes and Landforms"
"188","Computers & Geosciences"
"189","International Journal of Geographical Information Science"
"190","Ecohydrology"
"191","Earth-Science Reviews"
"192","Geomorphology"
"193","Journal of Structural Geology"
"194","Water Resources Research"
"195","GEOPHYSICS"
"196","IEEE Transactions on Geoscience and Remote Sensing"
"197","Sedimentary Geology"
"198","Geophysical Journal International"
"199","Geologia USP. Série Científica"
"200","Geologia USP. Série Científica"
"201","Computers & Geosciences"
"202","International Journal of Geographical Information Science"
"203","Sedimentology"
"204","Astrobiology"
"205","Journal of Geophysical Research: Biogeosciences"
"206","Computers & Geosciences"
"207","Environmental Modelling & Software"
"208","Geology"
"209","Computers & Geosciences"
"210","Computers & Geosciences"
"211","Computers & Geosciences"
"212","Journal of Structural Geology"
"213","Journal of the Geological Society"
"214","Geochemistry, Geophysics, Geosystems"
"215","Marine and Petroleum Geology"
"216","Earth and Planetary Science Letters"
"217","Earth and Planetary Science Letters"
"218","Journal of Structural Geology"
"219","Nature Geoscience"
"220","Journal of Hydrology"
"221","Earth and Planetary Science Letters"
"222","Geological Magazine"
"223","Geochemistry, Geophysics, Geosystems"
"224","Geophysical Journal International"
"225","Geology"
"226","Journal of Conflict Archaeology"
"227","Gondwana Research"
"228","Scientific Reports"
"229","Lethaia"
"230","Sedimentology"
"231","Quaternary Science Reviews"
"232","Geochimica et Cosmochimica Acta"
