Journal,n
Geophysical Journal International,15
Earth and Planetary Science Letters,12
Geophysical Research Letters,12
Journal of Structural Geology,11
Tectonics,9
Journal of Geophysical Research: Solid Earth,7
Computers & Geosciences,6
Geology,6
Sedimentology,6
Journal of Geophysical Research: Earth Surface,5
Marine and Petroleum Geology,5
Water Resources Research,5
Earth Surface Processes and Landforms,4
Geochimica et Cosmochimica Acta,4
Science,4
Bulletin of the Seismological Society of America,3
Earth-Science Reviews,3
"Geochemistry, Geophysics, Geosystems",3
Geomorphology,3
International Journal of Geographical Information Science,3
Journal of Geodesy,3
Journal of Geophysical Research: Atmospheres,3
Journal of Hydrology,3
Journal of Sedimentary Research,3
Lithos,3
Physics of the Earth and Planetary Interiors,3
Astrobiology,2
Geochemical Perspectives Letters,2
Geologia USP. Série Científica,2
Geological Society of America Bulletin,2
"Geological Society, London, Special Publications",2
IEEE Transactions on Geoscience and Remote Sensing,2
Journal of Geophysical Research: Oceans,2
Nature,2
Nature Communications,2
Scientific Reports,2
Sedimentary Geology,2
Seismological Research Letters,2
Solid Earth Discussions,2
Survey Review,2
19: Interdisciplinary Studies in the Long Nineteenth Century,1
AAPG Bulletin,1
Advances in Water Resources,1
American Journal of Science,1
Applied Energy,1
Basin Research,1
Bulletin of Volcanology,1
Chemical Geology,1
Continental Shelf Research,1
Cretaceous Research,1
Current Climate Change Reports,1
Earth Science Informatics,1
Earth's Future,1
Ecohydrology,1
Ecological Indicators,1
Ecological Informatics,1
Elements,1
Environmental Modelling & Software,1
Environmental Pollution,1
Environmental Research Letters,1
Frontiers in Earth Science,1
Geological Magazine,1
"Geological Society, London, Memoirs",1
GEOPHYSICS,1
Geotectonic Research,1
Gondwana Research,1
GPS Solutions,1
Hydrological Processes,1
Icarus,1
International Journal of Applied Earth Observation and Geoinformation,1
International Journal of Offshore and Polar Engineering,1
Journal of Conflict Archaeology,1
Journal of Geophysical Research,1
Journal of Geophysical Research: Biogeosciences,1
Journal of Map & Geography Libraries,1
Journal of Petrology,1
Journal of Surveying Engineering,1
Journal of the Geological Society,1
Journal of Volcanology and Geothermal Research,1
Lethaia,1
Marine Geology,1
Mathematical Geosciences,1
Nature Geoscience,1
Paleoceanography and Paleoclimatology,1
Petroleum Geoscience,1
"Plate Boundaries and Natural Hazards,Geophysical Monograph Series",1
Precambrian Research,1
Progress in Physical Geography,1
Pure and Applied Geophysics,1
Quaternary International,1
Quaternary Science Reviews,1
Renewable Energy,1
Science Advances,1
Science of The Total Environment,1
Solid Earth,1
Stochastic Environmental Research and Risk Assessment,1
Tectonophysics,1
The Leading Edge,1
Volcanica,1
Wiley Interdisciplinary Reviews: Water,1